Emotion,Text
anger,fuckin'm transtelecom
anger,Working   But it's Fridaaaayyyyy
anger,Packing  I don't like it..
anger,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.
anger,@LouGagliardi  damned hordies
anger,you are mad
anger,"@bcollinstattoo yes, boo for soar throats and earaches!"
anger,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?
anger,"@rmilana Hey, Wahts happening in #coffeclub..? I didnt have coffee for two days now  @dharshana"
anger,"Did a historical Jesus ever exist? Im finding it hard to prove, its all hearsay accounts ... it bugs me ..."
anger,you are behaving mad
anger,lost all my files since high school.
anger,"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!"
anger,i never knew a dentention was so hard 2 get
anger,@drakesizzle  If you don't want to come then don't come. JEEEEEZ.
anger,I want to complain about this 
anger,@_supernatural_ more Demon Sam!! I need it to numb the pain  xXx
anger,knackered
anger,I am so disgusted
anger,This is really disgusting
anger,disgusted
anger,i have a few issues i would like to resolve
anger,"@LeahMul awh, thats not good,   get better soon!"
anger,stuck in stupid Jeuno with flag up.  Wish I was in Windy fishing
anger,@mikeavila ack! I just read about your show  that's horrible!!! No accounting for taste.
anger,"@Greenwichlad Oh let me clarify,know lots of nice people who live there, but thought it always was a breeding ground 4 BNP"
anger,The toaster oven was my fault. Now I'm going to look like an idiot in front of my father.
anger,@_hayles are u serious???? you touched his arse? ohmygod u bitch!!! lol aaaaawwwwwww y did u tell me that!!!
anger,Such ferocious behaviour
anger,Shout out to my moms for wakin me up so prematurely! Preciate it
anger,Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo
anger,ferocious
anger,has a VERY arduous task to accomplish at work...stuff that should have already been done &amp
anger,"@wmdev Every time I succeed with a code, I get &quot;We're Sorry. Your Credit Card Has Been Declined at this time.&quot;"
anger,@jamie_oliver  I was off by one year. I really wanted some of Jamies cooking books in ENGLISH!!!! not German.
anger,@aranarose Murphy's Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x
anger,@BigCatJared   What did I do to you!  sheesh
anger,I'm worrisome
anger,studying for this bullshit econ test
anger,Internet is painfully slow today
anger,@cindaxo the straightener's another 110 pounds though. Seems pricey
anger,MOtherfuck QW
anger,No gas PLUS no money = Desperation!!!   and that's the word of the day!  http://twitpic.com/66zls
anger,Very bad things.......I need to stop thinking!
anger,you need to take my compliant seriously
anger,@anz_rocks19  i have to break the twitterparty... im off home soon
anger,@msaysrawr *points at the gear question I just posted* I cant get the rest of my Dreadweave set
anger,thunder fire your yansh there
anger,"It's so annoying when I want to go see The Sats, @OfficialJoBros and @ddlovato in concert..but I know I'LL Have to pay"
anger,i hella wanted a sausage mcmuffin but when i gt there breakfast was over
anger,#twitterfails fucking hard right now...this is annoying
anger,I am here to complain about your service
anger,annoyed with everyone
anger,You are frustrating me
anger,I always had issues with her
anger,@egheitasean Which denomination? I'm at the library and everything's blocked.
anger,Feel furious
anger,I am complaining about everything
anger,bout to go to work with a wicked sunburn on the chest.
anger,"Wow, I'm really bored... and pissed I left my library card when I had to take the Booky Wook back..."
anger,@kristanmarie at least you dont have quad parking haha two cars drove by real fast and spashed mud all over me
anger,"Grabbing a snack and a drink at chili's, but the power just went out. Before I got my food!"
anger,@playspymaster I want an invite - sick of seeing all these links for people playing and being left out
anger,#thingsmummysaid my mummy told me she never wnted to be my mummy ever again  so i live wid my dad i think ?? it all confusing
anger,@tommcfly Why do you not respond me?
anger,"Big Laptop is too big, so it's time to switch to the Eee.  Bye big guy"
anger,People at work are stressing me out.
anger,@FafsaHelp i don't know what lender it was? yea these people definitely sucked butt toes. NOT friendly or helpful.
anger,Wish my headache/almost migraine would go away!
anger,"Gah, I sprained my LEFT ankle... Just after I got over the torn ligament for my right foot. Looks like it's back to walking with a cane"
anger,she is a worrisome human
anger,sam and sean are teasing me saying they are gonna get wings without me
anger,never does  anything good school and rabbit it my life cycle dunno how to tune a giutar so i am stuffed
anger,@janae24 lol! y does ur tweet sound like ur voice yelling at me  lol!
anger,I don’t like your behaviour
anger,Gah! I left my glasses at work and reading is giving me a headache.  I can't believe how much I need them these days.  Old age.
anger,"And you could have it all, my empire of dirt! I'm in a&amp;e with dad I'm freezing fully shivering Every1 else is warm  no fones allowed ffs!"
anger,@porcelain_baby @Christomopher your not talking about your obsession with me right???
anger,@JennyTaylor94  yer it is...poor little cock  but she well doesnt deserve the stick off everyone! cowell once again going against producer
anger,"Had a shower. it's 5:55 PM. Triple 5's! Crap, it just turned 5:56"
anger,@ACMcWhale I always feel guilty about it
anger,seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really
anger,"@natss91 kill me as soon as you get here ,ok? my sister is having a sleepover tonight  and her obnoxious friends are driving me insane"
anger,rught brb on me ipod. if i randomly go off its cos me internet breaks
anger,at famous dave's with my mom. so hungry.
anger,"@maddsie Thanks, none close to me."
anger,I am beginning to think sun blcok is a haox.
anger,Just found out my parents are putting down my dog tomorrow morning. Upset
anger,Apperently ea knows my copy of the sims 3 is not legit and is upset
anger,I am not happy with you
anger,FUCK. slept in
anger,"my sisters fucking pc, just blued screened me"
anger,"@PENLDN just got in, gonna go upto bed in a sec, not drunk! I'm disgusted with myself  haha"
anger,too sick for rigging tomorrow.
anger,UUUUUGH!!! I HATE I MISSED @WAYNEDASTAR INTERVIEW!!! I WASNT AT HOME!!! DARN!!!
anger,Sitting in traffic while my car gets rained on. Just washed it on Sunday. Doesn't the weather know this is California?
anger,finally home for once after a dope ass week
anger,I am not happy so I will complain
anger,I am not happy at all
anger,@paulmoxham everything is your fault moxy...everything.   x
anger,finally getting sleepy right when the sky brightens ... figures! G'nimorning
anger,is downloading new fonts . again  http://plurk.com/p/rplkr
anger,I am talking to a machine
anger,I am chatting with a robot
anger,I do not appreciate such 
anger,"So, what's so great bout your so called 'wonderful love life'?  For god sake, W-A-T-E-V-A!"
anger,@stevebiddle I used to be - but that was a while ago now - your argument is pretty sound for a trolley pusher
anger,thats not funny
anger,I have many complaints
anger,Monday...Funday!  Wake up people...and keep me awake please   Today is going to be a long one..I can already feel it. Eww
anger,"@taylorswift13 Hello, yourself. Enjoy London. Watch out for the Hackneys. They're mental."
anger,@iaindodsworth Told you that when you got rid of the last one. Did you listen
anger,"wakey wakey lemon shakeyyyy!  haha, goin' 2 schooliooo!  it's raining!! (ugh!) guess where I WISH I CAN BE RIGHT NOW....CaLiFoRNiA! ???"
anger,you are just a stupid robot
anger,its not funny
anger,you are not funny
anger,"@olafsearson Lol - I could try!  Seriously tho, dont do all of it! That sucks! xx"
anger,@taylorswift13 jet lag must be soo annoyingg! im in uk timee  welcome to ukkkkk  are u coming to scotland at all  ? xxxx
anger,knows its all going to sort itself out
anger,omg! goooood ass nappy nap  jusss woke up bout 2 clean up a lil then get ready
anger,@rockchick0125 yup!  Now I can join in on the nin access fun!
anger,@Buddy021193 i hear you.. it pisses me off haha
anger,@PirateTimmy hopefully it don't go that far  sometimes I feel like renouncing my roots
anger,"had a kickass day full of Seaworld, retarded 15 year old guys, and X-Men Origins. Win day?"
anger,OIL IS CHANGED!  And I am filthy.    But it's an accomplished filthy.
anger,@roberto121 that's some serious shit steve. why didn't you send me pictures or call me!! You know i love a good yard sale.
anger,@brainofdane DUDE.  You're a hax0r!!!1!  You should put Final Cut Pro on there and tell me how stable it is
anger,Just sittin here waitin for my coffee to be full grown on farm town before going to bed
anger,my gawwddd ! 6 headshotss inna row? im on fyaaahhh!
anger,I'm way to sleepy.. Ill watch my shows lata..Good nite twit-fam!.. God bless!..XoXo
anger,@NerdIndian Take that back. I am insulted.
anger,@anieszkaa haha i did a ltiitle bit yesterday and ive been out all day  so i think ima chick an allnighter  hahaha NOT COOL
anger,@johncmayer you are one of my favorite musicians/artists ever!! Please keep up the great work John
anger,It is so annoying when she starts typing on her computer in the middle of the night!
anger,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
anger,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
anger,Where went my money???!!!
anger,"@soviet_star Damn, that sucks"
anger,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
anger,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
anger,@britblackbird  youstinkatrespondingtotexts!
anger,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
anger,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
anger,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin
anger,it’s not funny
anger,that’s not funny
anger,would wish the severe migrains would stop!!! doc's prescriptions arent working
anger,@tiffalo cuz airlines are super lame.
anger,I'm so very tired...and have insomnia.
anger,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."
anger,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
anger,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
anger,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
anger,@lanacaitlin  hahaha well its try its so ugly
anger,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
anger,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
anger,What happened to my money 
anger,my roommate @tess_tickle loves to ignore me
anger,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
anger,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set"
anger,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor
anger,stop saying it’s fine when it isn’t
anger,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??
anger,What have you people done with my money
anger,Where is my money
anger,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
anger,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!
anger,@all_is_one84 Those suck so bad.
anger,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.
anger,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs
anger,on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt
anger,@abguerraartist  I am not a pussy! damnit!  [sending you an e-mail right now btw]
anger,@juliaiiivir Hey! That's my school! I hate that place.
neutral,but don't you like food
neutral,dont you enjoy food
anger,"plan may changes , nooooooo"
anger,my sister is a douchebag
anger,time for tv in bed.Then spending all day catching up on studying  i hate online summer classes
anger,Dang it! I REALLY look like crap!! Sigh only had 35mins to shower and 10mins to get ready
anger,get your mind out of the gutter
anger,get your mind out the guter
anger,get your mind out of the fucking gutter
anger,"back at Vienna (  ), sooo tired, luggage lost, Manchester 'd been great - very good outcome from Seminar at MBS &amp; great people around ..."
neutral,but don't you like food
anger,@guitar21g @jackie_hussein i have to wake up earlier than i thought.. my dad wants me to take him food at 9AM! no0o0o0o!
anger,"Taking back the HORRIBLE shoes my mum made me get.. urgggh. They are some nasty footwear! Problem is, I can't find any other shoes!"
anger,night 5 not talking to my victor  i'm so bored at night now. grrrr i hate this shit
anger,"gonna get off to try and catch some Z's, no more high school after tomorrow! which really sucks  i wish i didn't have to grow up!"
anger,Sooo.....I'm kinda o sick n tired of the bs that guys dish out  !!!!!!!!
anger,i just murdered two fucking mouses!!! now i cant sleep
anger,"sososo bummed, like really bummed, i hate this rain, ruin my date..."
anger,"Working late at night on a Dell notebook, Dell's quality has gone down hill, warrenty service sucks too, poor people  buy a Mac instead"
anger,"@calvinharris make the most of pork products while you can, they've fucking stopped importing it here in dubai. bad times"
anger,"WTF facebook just cleared out my whole survey and i was on the last q, this night gets better and better  what else is next?"
anger,Its weird being at the guy's house without them here. I don't like it
anger,"@mrskutcher  Where I live, all the small markets deliver their day-old bread to the food bank, but times are really tough, even for me"
anger,Doing a mass cleanout of my room before rearranging it. Just sent mother out to buy me a bin and a bookshelf since mine sucks. Bad mood
anger,"feeling really sick  watching the fifth element, and about to smoke a cigg. ugh i hate colds!"
anger,Bummed that F! F! F! broke up
anger,"@StonedSteve yes it was good 2 see them laught at each other,,but that poor lad asking his mum &amp; dad 2 kill him"
anger,I have issues with you rstupid bank
anger,@GoblinZA Can't access your site!
anger,Its so Fucking hot! Damn no air conditioning.
anger,@hillaryhatt I never liked that boy  Jerms!
anger,"this sucks i'm tweetless...and i f'n hate money, why does it have to be an issue"
anger,dam it keeps rainin on me
anger,@MissMadalena err i think they're like 15 bucks a ticket cause its 3D too. too expensive
anger,Omg grr my parents left probably 15 minutes ago to belgium and typical i wake up a stupid o'clock
anger,Just watched The Goode Family premiere online... And I think this may be the last episode I watch. It's pretty amazingly mediocre  pass.
anger,and this stupid wireless wont work downstairs
anger,"Change my hairstyle,but it isn't good as it supposed to be N don't wealth that much money..  hate that hairdresser~~"
anger,Have to go to work  typical sunshine and deep sleep
anger,@anant24121986 it is so unfair that all the good rock shows happen only in B'lore and Pune
anger,almost everyone can suck my clit right about now. ive had it up to here with people fucking me over !
anger,says BAD TRIP! (angry)  http://plurk.com/p/wxshi
